모델,MAE,RMSE,MAPE(%),sMAPE(%),R2
1시간 지속성(rolling one-step),22267.416666666668,24650.91788858987,3.223275375249101,3.2218022442400294,0.7960455560090673
24시간 계절 나이브(day-ahead),18147.416666666668,25688.273044329002,2.7178363297421124,2.6432585642828146,0.7785188346035732
과거 동일시간 평균,37333.541666666664,47663.345911182885,5.602113935511522,5.378656681756893,0.23750669527231938
Ridge 달력,41227.58100140365,56440.73312971705,6.186408285361877,5.864367636126952,-0.06918356699753181
Ridge 달력+관측기상,37073.10920762258,43941.466986866544,5.384051086146315,5.327178192382709,0.35193870242696446
