변수,count,mean,std,min,25%,median,75%,max,CV(%)
demand,96,713455.21875,70128.81943053131,571137.0,657920.5,705141.0,768540.25,835946.0,9.829463375907405
temperature,96,15.362083333333336,3.1198646788018043,9.75,12.795,15.31,17.064999999999998,22.48,20.30886443658447
wind_speed,96,2.148125,0.7282600930697046,1.16,1.57,2.035,2.5175,3.95,33.90212827790304
precipitation,96,0.28333333333333327,0.707607781139965,0.0,0.0,0.0,0.02,2.8,249.74392275528183
humidity,96,77.79458333333334,16.87306392272461,44.57,62.7975,85.905,91.65,95.5,21.689252901358312
