date,weekday,demand_mean,demand_min,demand_max,load_factor_mean_over_max,peak_hour,trough_hour,temperature_mean,precipitation_sum,humidity_mean
2025-04-21,Monday,686925.875,571137,813385,0.8445273455989476,19,3,16.912499999999998,0.01,74.5325
2025-04-22,Tuesday,760111.3333333334,633733,835946,0.9092828165136664,10,3,15.586666666666668,27.06,92.63291666666665
2025-04-23,Wednesday,712465.5416666666,641837,805656,0.884329715991275,19,3,14.593333333333334,0.13,78.66375000000001
2025-04-24,Thursday,694318.125,602792,801394,0.8663879752032084,19,12,14.355833333333331,0.0,65.34916666666668
