model_id,model,smape_pct,fold_smape_range_pct_points,peak_mae,bias_prediction_minus_actual,abs_bias,simplicity_score,accuracy_score,stability_score,peak_risk_score,bias_score,balanced,accuracy_first,stability_first,peak_first
block_persistence_24h,24h block persistence,8.22128978813801,3.5902157018477565,100004.0,8099.333333333333,8099.333333333333,1.0,0.0,1.0,1.0,0.42151184135767383,0.5921511841357674,0.3421511841357674,0.7710755920678837,0.7210755920678836
seasonal_naive_24h,24h seasonal naive,6.525497052534107,7.586431840203706,115693.5,-2464.0833333333335,2464.0833333333335,1.0,1.0,0.0,0.11194056950336129,1.0,0.5723881139006722,0.7667910854255042,0.3667910854255042,0.4503732562765126
past_same_hour_mean,Past same-hour mean,6.731735438433859,5.642831175428361,115693.5,-12205.423611111113,12205.423611111113,0.95,0.8783823154978276,0.486360246163999,0.11194056950336129,1.1102230246251565e-15,0.5464119858659118,0.6399564993406008,0.5306476716070693,0.43792287207556935
ridge_calendar,Ridge calendar,6.941420942602648,5.0509741885624395,117671.17345845401,-12205.423611111124,12205.423611111124,0.8,0.7547318835987213,0.6344645944711985,0.0,0.0,0.502772307877352,0.5562855896063527,0.5481786739553436,0.36385266007036016
