fold,test_date,variant,prediction_min,prediction_max,n,mae,rmse,wape_pct,smape_pct,r2,bias_prediction_minus_actual,underprediction_rate_pct,peak_mae,negative_prediction_count
1,2025-04-22,raw_oracle,-14238461.204198262,630034.6976071673,24,6075254.697498863,8162748.166020013,799.2585337278043,165.00367074950978,-12839.666676633398,-6075254.697498863,100.0,13347367.578854727,19
1,2025-04-22,train_range_clipped_oracle,578974.9799550842,671661.745883042,24,135229.84218944624,149067.97255004337,17.79079409281003,19.15399988784937,-3.2823628807464758,-135229.84218944624,100.0,218837.52788334482,0
2,2025-04-23,raw_oracle,633851.4941048649,747603.761232183,24,37725.955032806974,45597.961741081344,5.29512696776252,5.3402189111260014,0.15219537880022083,-22398.42111305502,66.66666666666666,60198.196529406356,0
2,2025-04-23,train_range_clipped_oracle,635777.8405453324,747603.761232183,24,37507.627305302536,45395.24339246572,5.264482997670477,5.306610963301151,0.15971692179421404,-22180.093385550583,66.66666666666666,60198.196529406356,0
3,2025-04-24,raw_oracle,649414.8836498961,747584.0771322326,24,37073.109207622656,43941.46698686661,5.339498980762262,5.3271781923827195,0.35193870242696257,7.390258745770552,50.0,52344.860020208755,0
3,2025-04-24,train_range_clipped_oracle,648494.9481880963,751497.5237600614,24,35973.73999616885,43133.28656652067,5.181161012636513,5.172978862848448,0.37555803172639557,1891.1942384703823,50.0,48463.275450622394,0
